layer_sizes	pool_mode	activation_fn	label_set	acc
[128, 128, 128]	mean	elu	full	0.6754
[512, 256, 128]	max	relu	full	0.675
[128, 128, 128]	sum	tanh	full	0.6748
[128, 128, 128]	mean	prelu	full	0.6745
[128, 128, 128]	sum	relu	full	0.6745
[512, 256, 128]	max	leakyrelu	full	0.6744
[128, 128, 128]	sum	prelu	full	0.6744
[128, 128, 128]	mean	leakyrelu	full	0.6743
[512, 512, 512]	max	prelu	full	0.6743
[128, 128, 128]	mean	relu	full	0.6739
[128, 128, 128]	sum	leakyrelu	full	0.6739
[128, 128, 128]	sum	elu	full	0.6734
[256, 256, 256]	max	leakyrelu	full	0.6716
[256, 256, 256]	max	relu	full	0.6715
[256, 256, 256]	max	tanh	full	0.6712
[256, 256, 256]	max	elu	full	0.6711
[256, 256, 256]	max	prelu	full	0.6706
[128, 128, 128]	max	relu	full	0.6543
[128, 128, 128]	max	tanh	full	0.6542
[128, 128, 128]	max	prelu	full	0.6533
[128, 128, 128]	max	leakyrelu	full	0.6514
[128, 128, 128]	max	elu	full	0.6494
